gene,scores,logfoldchanges,pvals,pvals_adj,abs_lfc,aki_biomarker
S100A6,23.428232,5.1338515,2.20383341067076e-121,2.4751987646380195e-117,5.1338515,False
MALAT1,22.850115,5.2605233,1.457537127722508e-115,1.2277563995370548e-111,5.2605233,False
TMSB4X,18.700165,3.7832618,4.935209018870739e-78,1.8476325853536744e-74,3.7832618,False
NEAT1,18.24216,5.735624,2.3882506098730734e-74,8.046971604906334e-71,5.735624,False
CD9,17.980247,4.582182,2.7824467750634805e-72,7.211673972229916e-69,4.582182,False
IFITM3,17.253765,4.20894,1.0484034499927368e-66,1.962494769114182e-63,4.20894,False
PTMA,16.59414,1.6119729,7.6837696696131695e-62,1.2328425487997434e-58,1.6119729,False
H3F3B,15.792628,1.9354776,3.4970163570802484e-56,4.531864197517765e-53,1.9354776,False
IGFBP7,15.547764,1.770185,1.6475767014807976e-54,1.9826231921319283e-51,1.770185,False
CALM2,15.224753,1.8056357,2.42269908941577e-52,2.5509507224617176e-49,1.8056357,False
FOS,14.646369,4.244341,1.4210953036862213e-48,1.3300662545112096e-45,4.244341,False
BCAM,14.387057,2.8524673,6.239513845687168e-47,5.532478408331144e-44,2.8524673,False
HLA-B,14.364128,2.6060982,8.689334115445697e-47,7.507139068867367e-44,2.6060982,False
JUN,14.117055,3.4514487,2.981955715388996e-45,2.3922384731980195e-42,3.4514487,False
S100A10,14.074742,2.1709495,5.4302494962586144e-45,4.1583369665213124e-42,2.1709495,False
TXNIP,13.651843,3.0428338,1.9683605512969458e-42,1.4111051152212615e-39,3.0428338,False
TPM1,13.374781,1.9530045,8.490342530709788e-41,5.838236759790522e-38,1.9530045,False
ANXA2,13.038465,3.9190595,7.393083987167861e-39,4.700048525728942e-36,3.9190595,False
CRIP2,12.995081,5.852494,1.3046917965033803e-38,7.992779162069981e-36,5.852494,False
C8orf4,12.738651,6.1907625,3.605734668691724e-37,1.959542321401596e-34,6.1907625,False
PNISR,12.7295065,3.531131,4.053926991026282e-37,2.1681431116768184e-34,3.531131,False
APP,12.542479,2.0661385,4.371049726383272e-36,2.1658551394229114e-33,2.0661385,False
JUNB,12.5368,3.1663952,4.695728258492394e-36,2.293012578864387e-33,3.1663952,False
ZFP36,12.527891,3.2476053,5.254145945963631e-36,2.529045621475694e-33,3.2476053,False
KTN1,12.398606,2.1044557,2.659089309135054e-35,1.244379933083285e-32,2.1044557,False
TACSTD2,12.325773,6.563669,6.58090470053956e-35,3.008506985525392e-32,6.563669,False
S100A11,12.267414,1.9635106,1.3551165156234847e-34,6.087906116989025e-32,1.9635106,False
EGR1,12.165236,4.97799,4.76065822365128e-34,2.1071358791752396e-31,4.97799,False
TSC22D1,12.164303,2.051023,4.815381453567206e-34,2.1071358791752396e-31,2.051023,False
DUSP1,12.090546,4.2359853,1.1849743837687785e-33,5.1187854982955415e-31,4.2359853,False
POLR2J3,12.080344,4.7100744,1.3415644032318815e-33,5.72185708892342e-31,4.7100744,False
ARHGAP29,12.036248,2.7121873,2.2914279166384692e-33,9.650921527902073e-31,2.7121873,False
TMSB10,11.851068,1.4296126,2.1246616525383683e-32,8.62510237597925e-30,1.4296126,False
AKAP9,11.65299,2.9167123,2.215452322333385e-31,8.482664835079668e-29,2.9167123,False
SYNE2,11.624386,2.4937775,3.0981403743964442e-31,1.1729072109540874e-28,2.4937775,False
MAL,11.516317,4.8575854,1.0917791318560302e-30,4.0424622053579205e-28,4.8575854,False
N4BP2L2,11.374049,2.6461978,5.6313361840637165e-30,2.0402391546864825e-27,2.6461978,False
WSB1,11.283357,4.3610783,1.5857826583079576e-29,5.624353777792455e-27,4.3610783,False
SERPING1,11.272285,3.4471674,1.7984019706862186e-29,6.3120162500314005e-27,3.4471674,False
HMGB1,11.27106,1.3015682,1.8236091614900312e-29,6.334503823427331e-27,1.3015682,False
GSTP1,11.270084,1.3273516,1.8439295751713827e-29,6.339730929165773e-27,1.3273516,False
ACTG1,11.229402,1.2614672,2.9245276259571775e-29,9.953437760505166e-27,1.2614672,False
MYL9,10.879473,4.275203,1.4439581746477341e-27,4.565600826488758e-25,4.275203,False
CD151,10.8791,2.2975664,1.4498702689923936e-27,4.565600826488758e-25,2.2975664,False
B2M,10.835304,1.1469857,2.341860272528381e-27,7.306170372460303e-25,1.1469857,False
MT2A,10.599829,1.3795103,2.9852717826862035e-26,8.901393579276898e-24,1.3795103,False
PKM,10.5586605,1.5416305,4.63222633933138e-26,1.3691073182230836e-23,1.5416305,False
ID1,10.466692,5.518113,1.228616377889225e-25,3.568706916948236e-23,5.518113,False
ITGB1,10.458231,2.1398869,1.3434065936708043e-25,3.868781347619152e-23,2.1398869,False
H3F3A,10.349525,1.1480138,4.205644584788702e-25,1.1907982238644581e-22,1.1480138,False
CLDN4,10.335164,4.97455,4.885759599491673e-25,1.3718398662106036e-22,4.97455,False
STMN1,10.323485,2.4682386,5.518257743477826e-25,1.5366295570970403e-22,2.4682386,False
HLA-A,10.29807,1.4634577,7.188884657649552e-25,1.9854285217610164e-22,1.4634577,False
CEBPD,10.278725,2.5017917,8.788279035357821e-25,2.4074168603036294e-22,2.5017917,False
ID3,10.258285,5.593209,1.0861890970733624e-24,2.9514560836120864e-22,5.593209,False
IER2,10.2362995,3.3613167,1.3635161050885882e-24,3.6753849315883913e-22,3.3613167,False
SELM,10.165323,3.43367,2.831810732591031e-24,7.51299455306474e-22,3.43367,False
ZFP36L1,10.104791,2.1987915,5.2607674188827094e-24,1.3848148235299533e-21,2.1987915,False
CRIP1,10.085132,5.7963204,6.427875888718191e-24,1.6789213193369825e-21,5.7963204,False
HLA-C,9.966842,1.4787999,2.1289084722174857e-23,5.434200156279998e-21,1.4787999,False
CLU,9.949043,1.9846684,2.5461958630885245e-23,6.4023524933511e-21,1.9846684,False
DEFB1,9.8622,2.8627703,6.070444086790627e-23,1.5140050447905682e-20,2.8627703,False
LUC7L3,9.751051,2.4543602,1.8256910011610632e-22,4.457596564718903e-20,2.4543602,False
YWHAH,9.705442,2.4150817,2.8583251166898353e-22,6.879171891553378e-20,2.4150817,False
NR4A1,9.690315,4.987769,3.31504693239508e-22,7.921786619866654e-20,4.987769,False
BTG1,9.631349,1.6196936,5.895057021692227e-22,1.3890073516706146e-19,1.6196936,False
UTRN,9.589607,5.182412,8.842064716427497e-22,2.0546519210710902e-19,5.182412,False
HES1,9.51999,2.2813137,1.731962841536617e-21,3.943024052887485e-19,2.2813137,False
WFDC2,9.500612,3.580068,2.086599452461077e-21,4.71851556719621e-19,3.580068,False
CD63,9.469522,1.1309943,2.8112516996998855e-21,6.314820984645863e-19,1.1309943,False
IFITM2,9.446768,4.183248,3.494556994416781e-21,7.797722077475431e-19,4.183248,False
SUMO2,9.437206,1.1184571,3.8285253106396896e-21,8.486732356361428e-19,1.1184571,False
KRT7,9.406459,5.1102424,5.131318475117522e-21,1.1300303575203253e-18,5.1102424,False
MYL6,9.405509,1.0323945,5.1778998040196056e-21,1.1328841298482896e-18,1.0323945,False
TIMP3,9.399454,3.179054,5.4846926628202746e-21,1.1922660295552667e-18,3.179054,False
STAT3,9.374976,2.6638305,6.919143712634256e-21,1.4849275684936219e-18,2.6638305,False
GSN,9.257709,2.3877752,2.0886716520629974e-20,4.4261448204157636e-18,2.3877752,False
ITM2C,9.2075205,2.9276936,3.337446262193133e-20,7.028244647395964e-18,2.9276936,False
FUS,9.185618,2.1064975,4.0916987526899313e-20,8.510228257600898e-18,2.1064975,False
DMKN,9.157891,4.9054017,5.292106478213264e-20,1.0939400961774093e-17,4.9054017,False
FOSB,9.112231,5.078084,8.070491517606143e-20,1.6580923243550084e-17,5.078084,False
SOD3,9.098011,1.6253786,9.200099173054241e-20,1.878716009314482e-17,1.6253786,False
ATRX,9.066198,2.811084,1.232424135599588e-19,2.4717439776721737e-17,2.811084,False
TINAGL1,9.051883,2.3091269,1.4052400283955062e-19,2.801666125251964e-17,2.3091269,False
ARGLU1,9.044333,2.7493527,1.5058057866095102e-19,2.984507069060049e-17,2.7493527,False
IGFBP5,9.022461,5.581871,1.839103009220106e-19,3.62378577734867e-17,5.581871,False
TIMP1,9.015871,5.409116,1.9531263832370275e-19,3.826083741673744e-17,5.409116,False
CPE,8.95583,5.210127,3.3719114909709523e-19,6.529493435446855e-17,5.210127,False
DDX17,8.926147,2.3242533,4.411030244437724e-19,8.444616650913902e-17,2.3242533,False
VIM,8.9072,2.5058036,5.233784575280448e-19,9.907142555028056e-17,2.5058036,True
KIAA0101,8.898217,7.8131795,5.675067706787711e-19,1.0623096184028063e-16,7.8131795,False
CLDN3,8.821004,2.434158,1.1343795472874599e-18,2.0772708949078085e-16,2.434158,False
AHNAK,8.782795,4.180827,1.594615124862193e-18,2.8732065249789693e-16,4.180827,False
IGFBP2,8.763629,5.961285,1.8906288582103908e-18,3.388449401518133e-16,5.961285,False
CD24,8.760648,1.1616848,1.9413233125606422e-18,3.4426814575483305e-16,1.1616848,False
ZBTB16,8.755581,3.5854049,2.030552477277141e-18,3.582064668553717e-16,3.5854049,False
GSTM3,8.733686,3.1851509,2.4650289617336345e-18,4.3258690539923477e-16,3.1851509,False
DDX5,8.729565,1.1872002,2.5565579778230496e-18,4.463246865532116e-16,1.1872002,False
H1F0,8.717044,2.5622346,2.8555977764014928e-18,4.959613993715047e-16,2.5622346,False
PTRF,8.698699,6.5380263,3.3571042664469362e-18,5.771136283350156e-16,6.5380263,False
ATF3,8.675846,4.490979,4.1048538937576744e-18,6.985300358397529e-16,4.490979,False
LGALS3,8.627433,1.9385616,6.274454319451097e-18,1.0623691650230415e-15,1.9385616,False
SRSF5,8.588009,1.3211042,8.84895002852058e-18,1.490782611304862e-15,1.3211042,False
EIF5B,8.586731,1.9138584,8.947919061456383e-18,1.4999561435657281e-15,1.9138584,False
LMNA,8.585791,1.5532812,9.021367061277681e-18,1.5047818899143076e-15,1.5532812,False
MRPS6,8.5829,1.5121769,9.251087096905453e-18,1.5354981706558244e-15,1.5121769,False
RHOB,8.55711,1.4398268,1.1573228201033172e-17,1.9115115245373125e-15,1.4398268,False
PRRC2C,8.546202,2.584579,1.2720523961243922e-17,2.09075772853733e-15,2.584579,False
KLF6,8.536784,1.907878,1.3800894562205758e-17,2.257317191160004e-15,1.907878,False
KMT2E,8.530858,2.8697715,1.452657765320664e-17,2.3531659011881952e-15,2.8697715,False
KCNQ1OT1,8.512379,6.3876996,1.70401639418609e-17,2.747135329459623e-15,6.3876996,False
SOX4,8.500799,3.168739,1.8828917431038488e-17,2.992554452459485e-15,3.168739,False
YBX3,8.458358,1.9609308,2.711686641150856e-17,4.289557262297509e-15,1.9609308,False
GNG11,8.452739,2.9579453,2.845472996874086e-17,4.480157343769881e-15,2.9579453,False
HMGB2,8.436468,2.7730107,3.270701751787982e-17,5.125722084871826e-15,2.7730107,False
SPINT2,8.426236,1.277173,3.5696274638250056e-17,5.568288322505544e-15,1.277173,False
SRRM2,8.345304,2.3809526,7.10311260841859e-17,1.092841443963726e-14,2.3809526,False
RBM39,8.343698,1.5789944,7.20031217407175e-17,1.1027605381507889e-14,1.5789944,False
HNRNPA2B1,8.320798,1.0186211,8.73728628022902e-17,1.3260996573244892e-14,1.0186211,False
PERP,8.312965,3.0386178,9.33396079090989e-17,1.4103070622821428e-14,3.0386178,False
SON,8.280335,1.4068048,1.2282883546061453e-16,1.84758695625444e-14,1.4068048,False
SDC2,8.25943,2.0421283,1.4636984343056434e-16,2.1822059754643518e-14,2.0421283,False
S100A4,8.236417,4.2139835,1.7744538726108506e-16,2.633852369328194e-14,4.2139835,False
GNAS,8.208104,1.5428509,2.2470900622265945e-16,3.306264303784405e-14,1.5428509,False
COL18A1,8.188912,2.2265923,2.6359703260654195e-16,3.8615819202803585e-14,2.2265923,False
CHD9,8.185564,2.3142726,2.710303360292376e-16,3.9532883732333905e-14,2.3142726,False
ELF3,8.1677065,2.049241,3.1430740959938374e-16,4.564773215104153e-14,2.049241,False
DST,8.149938,4.4247146,3.6411245029146336e-16,5.265409828377926e-14,4.4247146,False
CYR61,8.12835,3.8957512,4.351712871578133e-16,6.266094593801435e-14,3.8957512,False
VMP1,8.115055,2.0321395,4.855628341604953e-16,6.961937929448396e-14,2.0321395,False
HSPA2,8.081371,5.461537,6.40424474752516e-16,9.066580778282049e-14,5.461537,False
CCNL1,8.075452,3.3338583,6.72272025471432e-16,9.47762913231566e-14,3.3338583,False
TPM4,8.005097,3.9794228,1.1937208114049428e-15,1.6689306647086368e-13,3.9794228,False
RARRES2,8.004393,1.5171349,1.200576666718237e-15,1.6715797606778625e-13,1.5171349,False
LGALS1,8.001472,4.3777647,1.2294041375718509e-15,1.7046725519072405e-13,4.3777647,False
GADD45B,7.938743,1.368099,2.042405011238683e-15,2.8088487530071913e-13,1.368099,False
HMGN2,7.9368424,1.1770099,2.0739316865207624e-15,2.8406119612044946e-13,1.1770099,False
COBLL1,7.935228,2.3858767,2.1010950641373213e-15,2.8661658741312917e-13,2.3858767,False
SLPI,7.909285,5.647129,2.5887084690000672e-15,3.501196137306541e-13,5.647129,False
PPP1R15A,7.9088492,4.027165,2.597789025721598e-15,3.501196137306541e-13,4.027165,False
NKTR,7.8691673,3.6813354,3.570092926221528e-15,4.754573559529967e-13,3.6813354,False
IGFBP6,7.8591824,3.9989266,3.866490360639024e-15,5.108922596524363e-13,3.9989266,False
LEPROT,7.8441834,1.2825978,4.357790007273263e-15,5.713283132492814e-13,1.2825978,False
